High-1	High-2	Low-2	Low-3
Xkr4	14	9	12	13
Gm1992	9	8	0	1
Gm37381	0	0	0	0
Rp1	0	0	0	0
Sox17	0	0	0	0
Gm37323	0	0	0	0
Mrpl15	951	937	855	930
Lypla1	716	855	708	1075
Gm37988	0	0	1	0
Tcea1	757	773	857	962
Rgs20	9	5	1	5
Gm16041	0	0	0	0
Atp6v1h	3996	4336	4094	5546
Oprk1	0	0	0	0
Npbwr1	0	0	0	0
Rb1cc1	716	457	588	1041
4732440D04Rik	18	42	26	12
Alkal1	0	0	0	0
St18	2221	1656	1859	3001
Pcmtd1	546	414	560	1014
Gm26901	5	2	12	3
Gm30414	0	1	0	0
Sntg1	101	198	301	367
Rrs1	637	419	426	671
Adhfe1	114	48	11	12
3110035E14Rik	0	0	0	0
Gm29520	0	0	0	0
Mybl1	14	1	7	3
Vcpip1	386	342	445	640
1700034P13Rik	0	0	1	2
Sgk3	310	348	332	555
Mcmdc2	2	6	0	2
Snhg6	157	157	124	115
Tcf24	140	68	71	113
Ppp1r42	95	110	48	92
Gm15818	0	4	0	0
Cops5	1759	1755	1791	1855
Cspp1	444	351	458	508
Arfgef1	1311	973	1353	1838
Cpa6	0	0	0	0
Prex2	1	1	1	0
A830018L16Rik	7	10	11	5
Gm17644	0	0	0	0
Gm29663	0	0	0	0
Sulf1	127	61	11	9
Slco5a1	18	2	1	7
Gm29283	0	0	0	0
Prdm14	26	16	62	35
Ncoa2	259	255	478	418
Gm29570	0	0	0	0
Tram1	15074	12240	13530	22445
Lactb2	656	631	536	1092
Xkr9	0	2	0	0
Eya1	145	128	173	299
Gm9947	0	0	0	0
Msc	0	0	0	0
Trpa1	0	0	0	23
Kcnb2	102	95	129	133
Terf1	235	252	288	287
Sbspon	0	0	0	0
4930444P10Rik	3	0	0	2
Rpl7	2969	2736	2308	2342
Rdh10	71	63	67	96
Gm28095	0	0	0	0
Stau2	623	588	1022	1180
Gm7568	0	0	0	0
Ube2w	1540	1814	2000	2287
Eloc	2093	2357	1892	2069
D030040B21Rik	0	0	0	0
Tmem70	944	962	979	1260
Ly96	1085	1069	828	614
Gm28376	0	0	0	0
Jph1	17	13	2	8
Gm28783	0	0	0	0
Gdap1	811	745	923	1436
Gm28784	0	1	0	0
Pi15	0	0	0	3
Gm28154	0	0	0	0
Gm16070	0	1	0	0
Crispld1	0	0	0	0
Gm28153	0	0	0	0
Crisp4	0	0	0	0
Defb18	0	0	0	0
Defb41	0	0	0	0
Gm15825	0	0	0	0
Tfap2d	0	0	0	0
Tfap2b	0	0	0	0
Gm28340	0	0	0	0
Pkhd1	11	35	43	73
4930486I03Rik	0	0	0	0
Gm28653	0	0	0	0
Il17a	0	3	0	0
Il17f	0	0	1	12
Mcm3	97	46	0	61
Gm28065	0	0	0	0
6720483E21Rik	2	0	2	7
Paqr8	22	32	85	72
Efhc1	75	40	167	161
Tram2	21	38	29	41
Gm28287	0	0	0	0
Tmem14a	62	91	111	102
Gsta3	8	9	0	6
Gm28836	0	0	0	0
Khdc1a	0	0	0	0
Khdc1c	0	0	0	0
Khdc1b	0	1	0	0
Kcnq5	0	0	0	0
Gm26580	0	0	0	0
Rims1	11	9	0	0
4933415F23Rik	0	1	0	0
Gm27028	0	0	0	0
Gm29107	0	1	0	0
Ogfrl1	99	82	73	133
Gm28822	0	0	0	0
B3gat2	0	5	1	0
Smap1	666	634	677	632
Sdhaf4	550	719	839	649
Fam135a	2001	1565	1554	3051
Col9a1	0	0	0	0
Col19a1	1	1	0	0
Lmbrd1	1374	1110	1361	1597
Gm28237	0	0	0	0
Gm29414	0	0	0	0
Adgrb3	57	96	172	218
4931408C20Rik	0	0	0	0
Gm5524	0	0	0	0
Gm597	0	0	0	0
Gm9898	0	0	0	0
Phf3	400	322	422	472
Ptp4a1	864	730	503	881
Gm29669	0	0	0	0
Gm28644	0	0	0	0
4931428L18Rik	0	0	0	0
Gm29128	0	0	0	0
Lgsn	0	0	0	0
Pih1d3	0	0	0	0
Khdrbs2	0	3	1	0
Gm5415	0	0	0	0
Gm37724	0	0	0	0
Gm37591	0	0	0	0
Prim2	51	41	74	74
Rab23	128	123	153	298
Bag2	751	600	545	901
Zfp451	414	316	329	536
Bend6	7	1	1	3
Dst	2866	1921	2090	2773
Gm37958	0	0	0	0
Gm37233	0	0	0	0
Ccdc115	914	1144	1101	1188
Gm28306	1	2	1	2
Imp4	841	938	990	1175
Ptpn18	72	60	3	33
4930568A12Rik	36	29	9	17
Prss39	0	0	0	0
Cfc1	0	0	0	0
Prss40	0	0	0	0
1700101I19Rik	0	0	0	0
Amer3	26	37	16	104
Arhgef4	6	0	9	20
Gm38336	0	0	0	0
Fam168b	340	358	356	279
Plekhb2	2042	1783	2159	3155
Gm37068	0	0	0	0
Gm28415	0	0	0	0
1110002O04Rik	0	0	0	0
Gm37146	0	0	0	0
Gm33222	0	0	0	0
4930535G08Rik	0	0	0	0
Hs6st1	737	401	671	1345
Gm37335	0	0	0	0
Gm33280	31	14	37	30
Uggt1	4266	2172	3574	5451
Neurl3	93	104	18	1
Arid5a	1490	959	573	1234
4930403P22Rik	0	0	0	0
Kansl3	505	338	301	871
Fer1l5	28	14	27	25
Lman2l	934	895	1017	1142
Cnnm4	124	145	135	130
Cnnm3	71	73	110	73
Gm38033	0	0	0	0
Ankrd23	14	12	8	17
Gm42417	0	0	0	0
Ankrd39	353	313	394	493
Sema4c	112	51	60	100
Fam178b	1	5	0	0
Cox5b	4275	3881	3752	3526
Actr1b	3770	2344	2475	3924
4933424G06Rik	10	11	8	8
Gm33533	0	0	0	0
Zap70	6	0	0	0
Tmem131	353	292	364	607
Vwa3b	6	14	1	22
Gm37020	0	0	0	0
Cnga3	0	0	0	0
Inpp4a	534	597	686	786
4930439A04Rik	5	15	4	4
Coa5	998	837	1074	1545
Unc50	2623	3136	3163	3488
Mgat4a	53	44	20	23
2010300C02Rik	58	30	91	171
4930556I23Rik	0	0	0	0
Tsga10	147	110	106	236
Gm26805	0	0	0	0
Lipt1	91	56	123	138
Mitd1	871	605	545	616
Mrpl30	1725	1370	1180	1310
Lyg2	0	0	0	0
Gm15457	0	0	0	0
Lyg1	0	0	0	0
Txndc9	1345	1174	1219	1514
Eif5b	1808	1283	1444	1325
Rev1	126	113	151	276
Gm5099	0	0	0	0
Aff3	0	0	0	0
Gm16150	0	7	0	0
Gm16151	0	0	0	1
Gm16152	12	7	0	9
Lonrf2	60	82	40	57
Chst10	182	106	70	212
Gm37707	0	0	0	0
Nms	0	0	0	0
Pdcl3	659	756	524	721
Gm37821	0	0	0	0
Npas2	299	216	204	147
Rpl31	1212	998	888	831
Tbc1d8	489	327	385	1025
Cnot11	639	523	641	911
Rnf149	808	723	567	705
Creg2	0	17	5	1
D930019O06Rik	0	1	0	0
Rfx8	0	1	0	0
Gm3646	0	0	0	0
1700066B17Rik	0	0	0	0
Map4k4	201	159	173	215
Il1r2	90	99	74	53
Gm16894	7	26	8	14
Il1r1	4831	4198	9196	11341
Il1rl2	3	15	0	6
Il1rl1	0	0	0	0
Il18r1	37	59	27	55
Il18rap	0	0	0	0
Gm35801	0	0	0	0
Slc9a4	0	0	0	0
Slc9a2	0	0	1	0
Gm37623	0	0	0	0
Gm37915	1	0	0	0
Mfsd9	8	2	0	12
Tmem182	0	4	0	0
4930448I06Rik	0	0	0	0
Gm28634	0	0	0	0
Gm29260	0	0	0	0
Gm9915	0	0	0	0
Gm29664	0	0	0	0
Gm28175	0	0	0	0
Gm28140	0	0	0	0
Pantr1	0	0	0	0
Pou3f3	0	0	0	0
Dalir	0	0	0	0
Mrps9	325	298	365	497
Gpr45	1187	1058	1018	1132
Tgfbrap1	402	346	331	658
Gm28782	0	0	0	0
8430432A02Rik	51	85	65	63
AI597479	273	251	333	413
Fhl2	145	118	115	77
Gm29040	0	0	0	0
Nck2	449	307	582	988
1500015O10Rik	0	0	0	0
Gm29155	0	0	0	0
Gm29157	0	0	0	0
Gm29156	0	0	0	1
Uxs1	282	223	281	345
Tpp2	861	548	684	1277
Mettl21c	0	5	0	2
Gm8251	6	0	0	0
Tex30	507	504	407	486
Kdelc1	142	199	170	215
Bivm	94	185	173	332
Ercc5	320	147	186	394
Mettl21e	0	0	0	0
Gulp1	0	0	0	0
4930521E06Rik	0	0	0	0
Col3a1	0	30	10	0
Col5a2	4	4	1	0
Wdr75	803	502	731	1235
Gm5269	0	1	0	0
Slc40a1	1838	1225	1904	3189
Dnah7b	4	8	1	12
Dnah7c	0	0	0	0
Slc39a10	169	127	129	247
Gm28151	12	7	8	12
Gm28826	0	0	0	0
C230029F24Rik	0	0	0	0
4933411E06Rik	0	0	0	0
Gm29665	0	0	0	0
Gm28321	0	0	0	0
Tmeff2	16	31	47	56
Gm28322	0	0	0	0
Gm28319	0	0	0	0
Gm29325	2	0	0	2
9330175M20Rik	0	0	0	0
Cavin2	0	0	0	0
1700072G22Rik	0	1	0	0
Nabp1	1012	746	684	1248
Gm17767	932	965	1269	2282
Gm28055	0	0	0	0
Myo1b	303	242	239	386
Stat4	26	0	0	5
Gm31812	23	14	32	22
Stat1	3584	1896	1584	3194
Gls	745	434	675	1170
Nab1	747	457	355	634
Gm553	0	0	0	0
Gm28178	0	0	0	0
Nemp2	75	21	20	43
Mfsd6	299	212	377	588
Inpp1	328	224	334	295
Hibch	465	308	400	445
1700019D03Rik	1059	992	972	1195
Mstn	0	9	0	0
1700019A02Rik	0	0	0	0
Pms1	43	85	101	145
Gm28777	0	0	0	0
Ormdl1	319	443	453	420
Gm28778	3	0	3	0
Osgepl1	156	209	231	205
Gm28551	0	0	1	1
Asnsd1	165	121	156	165
Dnah7a	7	0	0	6
Stk17b	45	66	16	25
Hecw2	0	0	3	0
Ccdc150	0	4	0	3
Gtf3c3	490	309	290	386
Gm34066	0	0	0	0
Pgap1	378	401	337	491
Ankrd44	241	131	194	332
4930444A19Rik	0	0	9	0
Sf3b1	3072	2097	2411	3665
Coq10b	1393	1154	1143	1240
Hspd1	2643	1984	2527	3669
Hspe1	2047	2150	2121	2026
Mob4	1329	1538	1378	1875
Rftn2	21	14	17	12
Gm10561	0	0	0	0
Mars2	83	70	97	121
Boll	0	0	0	0
Plcl1	15	2	0	3
9130227L01Rik	0	0	0	0
1700003I22Rik	0	0	0	0
Gm28240	0	0	0	0
Hsfy2	0	0	0	0
Satb2	0	0	0	0
1700126A01Rik	0	0	0	0
BC055402	0	0	0	0
4930558J18Rik	0	0	0	0
1700066M21Rik	170	132	120	168
Tyw5	176	160	171	180
Maip1	354	357	395	391
Spats2l	10	5	0	2
Gm17234	0	0	0	0
Kctd18	197	224	155	291
Sgo2a	7	4	3	0
Aox1	74	74	102	144
Aox3	0	0	0	0
Aox4	0	0	0	0
Gm15759	0	0	0	0
Aox2	0	0	0	1
Bzw1	3789	3414	3453	5102
Clk1	1019	856	864	1108
Ppil3	230	252	191	202
Nif3l1	490	634	520	651
Orc2	372	326	368	773
Gm15834	7	6	1	13
Fam126b	206	172	294	496
Ndufb3	2482	2618	2450	2483
Als2cr12	5	1	0	8
Cflar	1075	717	808	1033
Casp8	257	229	292	292
Trak2	289	156	322	274
Stradb	259	197	248	283
C2cd6b	0	0	0	0
Gm29018	0	0	0	0
C2cd6	0	0	0	0
Tmem237	352	370	382	402
G730003C15Rik	86	112	163	144
Mpp4	1	2	5	1
Gm29017	9	0	0	0
Als2	107	97	221	386
Cdk15	17	54	16	24
Gm29016	0	0	0	0
Fzd7	23	108	137	296
Gm26813	1	3	0	0
Gm973	0	2	0	2
Gm28411	0	0	0	0
1700122D07Rik	0	0	0	0
Sumo1	1407	1473	1565	1878
Nop58	1508	1066	1253	1446
Bmpr2	82	99	86	38
Fam117b	201	179	263	430
Ica1l	164	174	208	188
Wdr12	612	680	611	746
Carf	45	59	85	132
Nbeal1	271	268	382	353
Cyp20a1	742	820	818	1063
Abi2	531	320	358	637
Raph1	81	81	68	43
Cd28	0	0	0	0
Gm11579	0	0	0	0
2310016D23Rik	0	0	4	3
Ctla4	0	0	0	0
Icos	0	0	0	0
Gm28083	0	0	0	0
Gm11587	0	0	1	0
9530026F06Rik	0	0	0	0
Gm11588	2	0	0	0
Gm28449	0	0	0	0
4930587A21Rik	0	0	0	0
Pard3b	110	82	167	107
Pard3bos1	1	0	0	0
Pard3bos2	0	0	0	0
Pard3bos3	2	0	0	0
Gm29084	0	0	0	0
Nrp2	6	78	0	10
Gm29083	0	0	0	0
Gm4208	0	0	0	0
Ino80d	103	155	197	156
Ino80dos	71	69	94	87
Gm20342	36	59	74	53
Ndufs1	1683	1330	1965	2731
Eef1b2	1995	1688	1743	1545
Gpr1	0	5	0	12
Gm11608	0	5	2	0
Zdbf2	463	389	563	564
Adam23	52	40	20	35
Gm39653	0	0	0	0
Dytn	0	0	0	0
Mdh1b	0	0	0	2
Fastkd2	601	448	420	574
4933402D24Rik	0	0	0	0
Gm13749	0	0	0	0
Klf7	305	320	377	448
Gm26649	0	0	0	0
Gm13748	0	0	0	0
Gm28981	0	0	0	0
Creb1	361	393	451	506
Mettl21a	418	451	403	507
Gm28982	1	7	6	5
Gm29152	0	0	0	0
Ccnyl1	110	58	101	71
Fzd5	49	47	33	42
Plekhm3	169	81	278	190
Akr1cl	0	0	0	0
Cryge	0	0	0	0
Crygd	0	0	0	0
Crygc	0	0	0	0
Crygb	0	0	0	0
Cryga	0	0	0	0
Gm28845	0	1	0	0
D630023F18Rik	63	20	10	43
Idh1	1470	1651	1862	2739
Pikfyve	321	291	306	307
Pth2r	0	0	0	0
Crygf	0	0	0	0
Map2	478	440	683	701
Gm10558	3	17	10	19
Unc80	492	570	996	746
Rpe	604	734	796	1027
Kansl1l	100	119	200	139
Acadl	876	805	877	1030
Myl1	0	1	0	0
Lancl1	870	996	1295	1232
Cps1	0	0	0	0
Gm15668	0	0	0	0
Gm15669	0	0	0	0
Gm15671	0	0	0	0
Erbb4	0	0	0	0
Gm28497	0	0	0	0
Gm29113	0	0	0	0
Gm29114	1	0	0	0
Ikzf2	96	80	98	82
Spag16	0	0	0	0
Vwc2l	0	0	0	0
Bard1	0	0	0	0
Abca12	0	0	0	0
Atic	334	301	432	337
Fn1	0	7	5	0
Apol7d	0	0	0	0
Gm8883	0	0	0	0
Gm28818	0	0	0	0
4933417E11Rik	0	8	38	24
4930556G22Rik	0	0	2	0
Gm4319	0	0	0	0
Mreg	498	568	1009	1326
D230017M19Rik	3	13	23	28
Pecr	856	981	863	1131
Tmem169	52	63	96	114
Xrcc5	1011	828	1060	1379
March4	347	275	511	728
Smarcal1	447	338	454	855
Gm39662	4	0	0	2
Ankar	0	0	0	0
Rpl37a	1962	2086	2396	1787
Igfbp2	2	5	0	0
Igfbp5	34	31	48	84
1700027A15Rik	0	4	3	0
Tnp1	0	0	0	0
Gm29185	0	0	0	0
Pinc	0	0	0	0
D530049I02Rik	0	0	0	0
C530043A13Rik	0	0	0	0
Gm29186	0	0	0	0
6030407O03Rik	0	0	4	0
Gm29183	0	0	2	0
Tns1	23	16	0	0
Rufy4	0	0	0	0
Cxcr2	0	0	0	0
Cxcr1	0	0	0	0
Arpc2	4794	5454	5480	5950
Gpbar1	5	8	0	4
Aamp	3795	3360	3956	4893
Gm28364	0	0	0	0
Pnkd	573	488	588	564
Tmbim1	1180	1283	1134	1361
Catip	28	11	10	4
Slc11a1	196	445	17	32
Ctdsp1	151	146	174	95
Vil1	1594	894	1363	2175
Usp37	227	198	391	375
Cnot9	770	546	540	750
Plcd4	2	5	4	3
Zfp142	204	91	189	306
Bcs1l	420	341	487	450
Rnf25	704	585	710	799
Stk36	86	26	104	111
Ttll4	68	164	91	130
Cyp27a1	4	17	20	0
Prkag3	0	0	0	0
Wnt6	0	3	0	0
Gm29539	0	0	0	0
Wnt10a	6	4	0	0
Cdk5r2	181	113	137	105
Fev	47	45	3	13
Cryba2	451	375	360	309
Cfap65	2	4	10	13
Gm15841	3	4	12	5
Ihh	0	0	10	0
Nhej1	43	25	44	47
Slc23a3	2	0	0	7
Cnppd1	549	445	635	970
Retreg2	2238	2154	2628	3563
Zfand2b	822	710	760	692
Abcb6	250	173	148	371
Atg9a	667	401	670	1073
Ankzf1	344	259	318	313
Glb1l	57	81	25	102
Stk16	1367	1156	1157	1620
Tuba4a	7468	6303	4077	6090
A630095N17Rik	1	0	0	5
Dnajb2	1820	1567	1562	2539
Ptprn	15105	8764	7346	13669
Gm28294	1	2	0	0
Resp18	31961	34262	36676	32188
Gm28902	2	2	0	1
Dnpep	2884	2349	2367	2940
Des	3	0	0	0
Gm15179	0	0	0	0
Speg	19	7	0	10
Gm15178	0	0	0	0
Gmppa	3689	3587	3940	5049
Asic4	3	0	7	1
Chpf	4170	3207	3407	5506
Obsl1	369	202	376	533
Tmem198	615	516	729	952
Inha	308	229	434	298
Stk11ip	413	326	399	551
Slc4a3	502	245	212	441
Gm29065	0	0	0	0
Gm29069	0	0	0	0
Gm17751	0	0	0	0
Gm816	0	1	1	2
Epha4	0	0	0	0
Gm28386	0	0	0	0
Gm28387	0	0	0	0
Pax3	0	0	0	0
Sgpp2	619	644	1083	1340
Gm28410	1	0	0	0
Farsb	2096	2053	1858	2875
BC035947	0	0	0	0
Mogat1	0	3	0	0
5730419F03Rik	6	0	0	0
Gm29611	0	0	0	0
Acsl3	189	242	208	400
Utp14b	33	30	17	39
Gm29536	0	2	0	0
Kcne4	0	0	0	0
Gm29187	21	0	0	0
Scg2	84866	66983	79657	109232
Ap1s3	19	20	7	4
Wdfy1	226	112	130	159
Mrpl44	528	651	821	773
Serpine2	12	38	4	7
9830004L10Rik	0	0	0	0
Fam124b	0	0	0	0
